Produkt,Kcal,Bia³ko,T³uszcz,Wêglowodany,B³onnik,Sód,Potas,Wapñ,¯elazo,Magnez,Witamina A,Witamina E,Witamina C
Miód pszczeli,327,0.3,0.0,79.5,0.0,7,46,5,0.9,5,0,0.0,1.4
Kakao 16% - proszek,452,18.2,21.7,50.6,5.7,17,1927,138,10.7,420,2,0.37,0.0
Herbatniki,441,8.2,11.0,76.8,1.3,297,123,35,1.3,29,18,1.1,0.0
Herbatniki z cukrem,464,6.7,17.2,70.7,1.6,131,97,38,0.9,13,16,0.82,0.0
Herbatniki kokosowe,479,6.4,25.3,59.9,4.5,14,192,49,1.3,25,24,0.9,0.1
Herbatniki sezamowe,508,8.1,28.6,55.7,2.2.,133,128,54,1.5,61,15,1.21,0.1
Paluszki z kminkiem,503,16.4,31.5,39.3,1.3,895,224,78,3.4,33,486,4.91,0.0
Babka biszkoptowa,348,8.2,4.7,67.3.,0.9,56,102,27,1.3,12,144,0.43,0.0
Ciasto  dro¿d¿owe,294,7.4,8.3,47.8,1.6,139,132,36,1.1,16,97,1.02,0.2
Ciasto kruche podstawowe,440,5.2,23.9,51.4,1.2,26,74,14,0.7,10,213,2.87,0.0
Ciasto francuskie ze œliwkami,439,5.0,26.8,45.4,1.7,160,147,21,0.9,13,254,3.53,1.0
Ciastka Napoleonki,353,5.9,17.2,43.6,0.8,131,111,55,0.8,12,169,3.09,0.3
Ciastka tortowe z owocami œwie¿ymi,279,3.2,9.0,47.2,2.0,27,133,25,1.0,11,120,1.59,20.7
Jagodzianki,320,7.1,5.5,61.1,2.1,137,129,36,1.2,15,69,1.3,2.1
Keks bakaliowy,391,6.4,17.8,53.8,3.6,91,343,104,1.6,35,183,2.92,0.7
Piernik z bakaliami,376,5.9,12.6,61.0,2.7,126,272,41,1.6,40,64,2.31,0.5
Herbata - napar bez cukru,0,0.1,0.0,0.0,0.0,11,16,5,0.1,2,0,0.0,0.0
Kawa - napar bez cukru,2,0.2,0.0,0.3,0.0,14,126,9,0.2,12,0,0.0,0.0
Sok ananasowy,201,0.3,0.1,11.4,0.1,1,134,17,0.3,13,1,0.03,6.0
Sok z czarnej porzeczki,223,0.3,0.1,12.7,0.1,1,60,14,1.0,5,4,0.25,23.4
Sok cytrynowy,125,0.4,0.3,6.4,0.1,1,102,11,0.1,8,2,0.1,50.0
Sok grejpfrutowy,167,0.5,0.1,9.2,0.1,1,102,11,0.1,8,1,0.19,38.0
Sok jab³kowy,175,0.1,0.1,10.0,0.0,2,110,9,0.2,5,2,0.01,2.3
Sok marchwiowy,181,0.4,0.1,11.3,1.3,29,99,13,0.2,6,580,0.18,1.2
Sok marchwiowo-jab³kowy,191,0.5,0.3,12.3,2.2,30,163,15,0.3,7,582,0.41,5.6
Sok marchwiowo-jab³kowo-pomarañczowy,186,0.6,0.2,11.8,1.9,26,153,18,0.3,8,502,0.31,13.0
Sok pomarañczowy,181,0.6,0.1,9.9,0.1,2,175,8,0.4,11,13,0.1,43.1
Sok pomidorowy,13,0.8,0.1,2.6,0.4,126,206,8,0.3,7,83,0.7,14.8
Sok wielowarzywny,25,1.0,0.3,5.7,1.2,312,190,16,0.5,12,167,0.48,12.0
Przyprawa Jarzynka,90,1.9,0.4,23.3,4.0,23982,354,74,1.5,180,145,0.5,1.4
Majonez domowy z olejem rzepakowym,722,1.3,79.2,2.6,0.1,396,16,14,0.5,9,47,20.7,0.0
Majonez domowy z olejem s³onecznikowym,722,1.3,79.2,2.6,0.1,396,16,14,0.6,9,47,36.07,0.0
Sól bia³a,0,0.0,0.0,0.0,0.0,38850,0,29,0.2,290,0,0.0,0.0
