Produkt,Kcal,Bia³ko,T³uszcz,Wêglowodany,B³onnik,Sód,Potas,Wapñ,¯elazo,Magnez,Witamina A,Witamina E,Witamina C
Gêœ- tuszka,341,14.1,31.8,0,0,48,243,5,2.4,18,30,0.20,0
Miêso z piersi indyka bez skóry,85,19.2,0.7,0,0,47,460,2,0.5,35,9,0.02,0
Miêso z podudzia indyka ze skór¹,144,15.7,8.9,0,0,92,324,8,1.1,24,40,0.11,0
Miêso z udŸca indyka ze skór¹,132,18.4,6.4,0,0,76,384,5,0.8,26,40,0.07,0
Skrzyd³o indyka,169,16.5,11.4,0,0,63,308,6,1.1,23,40,0.15,0
Kaczka- tuszka,310,13.5,28.6,0,0,66,242,8,2.1,14,24,0.20,0
Kurczak- tuszka,159,18.6,9.3,0,0,61,305,10,1.2,20,16,0.50,0
Miêso z piersi kurczaka bez skóry,100,21.5,1.3,0,0,55,385,5,0.4,33,6,0.30,0
Noga (udo) kurczaka,160,16.8,10.2,0,0,85,300,9,0.7,23,20,0.38,0
W¹tróbka kurczaka,137,19.1,6.3,0.6,0,85,300,8,9.5,21,9304,0.25,23
¯o³¹dek kurczaka,115,18.2,4.2,0.6,0,69,188,8,3.5,13,65,0.20,3
Baleron gotowany,246,15.1,20.2,0.9,0,749,312,17,1.3,16,0,0.35,0
Kabanosy,329,27.4,24.3,0,0,1327,467,11,2.3,34,0,0.35,0
Kie³basa - krakowska sucha,326,25.6,24.8,0,0,1273,429,8,2.1,33,3,0.71,0
Kie³basa - mortadela,207,12.0,17.7,0,0,698,169,13,1.2,12,3,0.28,0
Kie³basa - myœliwska sucha,293,27.8,20.1,0,0,1237,463,10,2.5,33,5,0.32,0
Kie³basa - parówkowa,326,11.0,31.5,0,0,839,134,15,1.2,9,3,0.47,0
Kie³basa - podwawelska,249,17.3,19.6,0.9,0,1,1017,303,10,1.5,22,0,0.20
Kie³basa - toruñska,265,20.9,20.1,0,0,1007,348,9,1.9,24,3,0.23,0
Kie³basa - zwyczajna,21,17.6,15.6,0,0,848,258,13,1.6,19,4,0.16,0
Kie³basa - ¿ywiecka,318,20.3,26.3,0,0,1031,328,7,1.9,23,6,0.64,0
Mielonka (Luncheon meat),172,12.8,11.7,3.7,0,1065,296,9,1.3,15,0,0.13,0
Parówki popularne,345,9.5,34.3,0,0,889,120,5,1.1,8,3,0.43,0
Polêdwica sopocka,166,19.9,9.1,0.9,0,748,374,15,1.1,23,0,0.21,0
Salami popularne,573,21.6,53.7,1.4,0.1,1307,348,10,2.2,25,7,1.26,0.5
Szynka wiejska,255,17.1,20.3,0.9,0,1026,366,5,0.9,20,0,0.29,0
Szynka wieprzowa gotowana,235,16.4,18.3,1.0,0,857,319,6,1.0,19,0,0.26,0
Szynka wo³owa gotowana,108,20.9,2.0,1.1,0,914,401,5,2.2,26,12,0.18,0
Wêdzonka wo³owa gotowana,103,17.8,3.1,0.5,0,992,382,5,2.8,24,11,0.19,0.5
Kiszka kaszana jêczmienna,271,9.1,19.9,14.6,1.0,716,97,30,11.4,10,55,0.20,0
Kiszka pasztetowa,387,12.5,35.7,4.3,0.1,788,144,18,6.0,7,1840,0.20,1.4
Pasztet pieczony,394,17.0,31.2,13.5,2.3,817,373,49,5.0,33,2225,0.85,4.0
